name,lat,lng,website,shop_key,logo,visited,rating,Coffeeshop,Transport,Bar,Food,Attraction,Shopping,Closed
Any Time,52.62865752,4.752160949,https://www.coffeeshopmenus.org/cs-anytime.html,cs-anytime,any_time.png,,,y,n,n,n,n,n,n
De Brug,52.63230959,4.753064966,https://www.coffeeshopmenus.org/cs-brug.html,cs-brug,de_brug.png,,,y,n,n,n,n,n,n
High-Time,52.63738657,4.741088309,https://www.coffeeshopmenus.org/cs-hightime-alk.html,cs-hightime-alk,high_time.png,,,y,n,n,n,n,n,n
Stepping Out,52.63028432,4.742804153,https://www.coffeeshopmenus.org/cs-steppingout.html,cs-steppingout,stepping_out.png,,,y,n,n,n,n,n,n
Zero Zero,52.62872337,4.751944953,https://www.coffeeshopmenus.org/cs-zero-zero-alk.html,cs-zero-zero-alk,zero_zero.png,,,y,n,n,n,n,n,n
