name,lat,lng,website,shop_key,logo,visited,rating,Coffeeshop,Hotel,Bar,Food,Attraction,Shopping,McDonald's,Albert Heijn,Closed
The Smoking Bull,52.37501,4.89863,http://www.smokingbull.nl,,,n,,n,n,y,n,n,n,n,n,n
Trompettersteeg,52.3737,4.89785,https://www.atlasobscura.com/places/trompettersteeg,,,n,,n,n,n,n,y,n,n,n,n
Van der Heijde Kantoorvakhandel,52.38256248,4.887348612,https://www.vanderheijde.nl,,,,,n,n,n,n,n,y,n,n,n
Van Gogh Museum,52.35809,4.88117,https://www.vangoghmuseum.nl/en,,,n,,n,n,n,n,y,n,n,n,n
Van Stapele,52.37197546,4.893250444,https://vanstapele.com/en/home/,,,n,,n,n,n,y,n,n,n,n,n
Van Wonderen Stroopwafels,52.36796,4.89164,https://vanwonderen.co/?srsltid=AfmBOooMqUbjFrjhDYGeIsFVHYPetWoJV4JUXygWsADEP7pqNsy3KPPi,,,n,,n,n,n,y,n,n,n,n,n
Vlaams Friteshuis Vleminckx,52.36788,4.89096,https://vleminckxdesausmeester.nl,,,n,,n,n,n,y,n,n,n,n,n
Vliger,52.36698945,4.895321787,http://www.vliegerpapier.nl/,,,n,,n,n,n,n,n,y,n,n,n
Walking Tour,52.37265,4.89362,https://freewalkingtoursamsterdam.com/dark-side-tour/,,,n,,n,n,n,n,y,n,n,n,n
Westerkerk,52.37454,4.88343,https://en.wikipedia.org/wiki/Westerkerk,,,n,,n,n,n,n,y,n,n,n,n
Winkel 43,52.37906,4.88634,https://winkel43.nl/en/,,,n,,n,n,n,y,n,n,n,n,n
Westerpark,52.38710542,4.872196546,https://en.wikipedia.org/wiki/Westerpark_(park),,,n,,n,n,n,n,y,n,n,n,n
Mouse Mansion,52.36714239,4.892764263,https://www.themousemansion.com/pages/visit-the-mouse-mansion?srsltid=AfmBOop6KI2f3Z-D0kv0yF11CCsxYHC1GsNGIBAtXTvE1C2JJmcfqp0c,,,n,,n,n,n,n,y,n,n,n,n
Hortus Botanicus,52.36714417,4.907688764,https://www.dehortus.nl/en/,,,n,,n,n,n,n,y,n,n,n,n
This is Holland,52.38420133,4.902089595,https://www.musement.com/uk/amsterdam/this-is-holland-flight-experience-35752/?lid=58700008219932624&ds_e_adid&ds_e_matchtype&ds_e_device=c&ds_e_network=x&ds_url_v=2&idengine=1323188743&idcampaign=19425198420&idadgroup&nmkeyword&idkeyword&gclsrc=aw.ds&gad_source=1&gad_campaignid=19433037068&gbraid=0AAAAADqaxSdQH_iKg_LmCg2ZVg7v4cze_&gclid=CjwKCAjwrNrQBhBjEiwAoR4VO7XdcaojmZ3uVc3ff15obrfg8JLZ3RbMuyVFCRcCS6BiT8snmNZKMxoC3VwQAvD_BwE,,,n,,n,n,n,n,y,n,n,n,n
Henk Comics,52.37398555,4.900321973,https://www.comics.nl,,,n,,n,n,n,n,n,y,n,n,n
De Glutenvrije Winkel,52.35570429,4.925537259,https://glutenvrijewinkelamsterdam.nl,,,n,,n,n,n,n,n,y,n,n,n
Amstelpark,52.33005783,4.893986035,https://en.wikipedia.org/wiki/Amstelpark,,,n,,n,n,n,n,y,n,n,n,n
Vondelpark,52.36040251,4.875429022,https://en.wikipedia.org/wiki/Vondelpark,,,n,,n,n,n,n,y,n,n,n,n
Vondelkerk,52.36130667,4.873712408,https://en.wikipedia.org/wiki/Vondelkerk,,,n,,n,n,n,n,y,n,n,n,n
Pannenkoekenboot,52.40036779,4.891882345,https://amsterdam.pannenkoekenboot.nl/en/,,,,,n,n,n,n,y,n,n,n,n
Goatfarm Ridammerhoeve,52.31303287,4.824455026,https://www.geitenboerderij.nl/en,,,n,,n,n,n,n,y,n,n,n,n
National Maritime Museum,52.37139502,4.915102764,https://www.hetscheepvaartmuseum.com,,,n,,n,n,n,n,y,n,n,n,n
Montelbaanstoren,52.37203443,4.905577234,https://en.wikipedia.org/wiki/Montelbaanstoren,,,n,,n,n,n,n,y,n,n,n,n
Munttoren,52.36703498,4.893298953,https://en.wikipedia.org/wiki/Munttoren,,,n,,n,n,n,n,y,n,n,n,n
Blast Galaxy Arcade,52.39031458,4.853845148,https://blastgalaxy.nl,,,n,,n,n,n,n,y,n,n,n,n
Kookboekwinkel,52.38356394,4.885540659,https://www.kookboekhandel.com/?srsltid=AfmBOorTN34PBxcjQ8t4Lf49p613oKOqP6RfRmuT7P7zKVXAZ8_tPmmi,,,n,,n,n,n,n,n,y,n,n,n
San Serriffe,52.37362487,4.897268366,https://san-serriffe.com,,,n,,n,n,n,n,n,y,n,n,n
Lambiek Comix,52.37237004,4.901930871,https://www.lambiek.net/?lan=dutch)-,,,n,,n,n,n,n,n,y,n,n,n
Beeldverhaal,52.36977725,4.870309562,https://beeldverhaalamsterdam.nl,,,n,,n,n,n,n,n,y,n,n,n
A Space Oddity,52.37332199,4.882708092,https://spaceoddity.nl,,,n,,n,n,n,n,n,y,n,n,n
