name,lat,lng,website,shop_key,logo,visited,rating,Coffeeshop,Hotel,Bar,Food,Attraction,Shopping,McDonald's,Albert Heijn,Closed,Area,Picture Spot
Chun,52.37041,4.88393,https://chun-amsterdam.com,,,n,,n,n,n,y,n,n,n,n,n,n,n
Coffeeshopamsterdam Café,52.37913164,4.894014815,https://coffeeshopamsterdamcafe.com,,,n,,n,n,y,n,n,n,n,n,n,n,n
Craft Coffee & Pastry,52.35609,4.89351,https://www.craft-amsterdam.nl,,,n,,n,n,n,y,n,n,n,n,n,n,n
Crafted Stories,52.3794329,4.886567898,https://www.craftedstories.nl/,,,,,n,n,n,n,n,y,n,n,n,n,n
Croque Madame,52.37392,4.89704,http://croquemadame.nl/,,,n,,n,n,n,y,n,n,n,n,n,n,n
Davide's Air BnB,52.36808,4.89077,https://www.airbnb.co.uk/rooms/20101951?source_impression_id=p3_1763296336_P3TbbltLHBoImfF2,,,n,,n,y,n,n,n,n,n,n,n,n,n
De Glutenvrije Winkel,52.35570429,4.925537259,https://glutenvrijewinkelamsterdam.nl,,,n,,n,n,n,n,n,y,n,n,n,n,n
De Italiaan,52.36556,4.87637,https://www.deitaliaan.com/?ft-shop=takeaway,,,n,,n,n,n,y,n,n,n,n,n,n,n
de Poezenboot,52.3782,4.89305,https://depoezenboot.nl/en,,,n,,n,n,n,n,y,n,n,n,n,n,n
de Posthumus Winkel,52.37064,4.89074,https://www.posthumuswinkel.nl,,,n,,n,n,n,n,n,y,n,n,n,n,n
Delicatessen Koopman,52.36946,4.87987,https://koopmandelicatessen.nl,,,n,,n,n,n,y,n,n,n,n,n,n,n
Door 74,52.36601,4.89361,https://www.finddoor74.com,,,n,,n,n,y,n,n,n,n,n,n,n,n
Downtown,52.36650735,4.890282371,https://www.coffeeshopdirect.com/Downtown.html,,,n,,n,n,y,n,n,n,n,n,n,n,n
Drink n Sink,52.37529155,4.898003575,https://drinknsink.com,,,n,,n,n,y,n,n,n,n,n,n,n,n
Duck Store,52.37007,4.89245,https://amsterdamduckstore.com,,,n,,n,n,n,n,n,y,n,n,n,n,n
Duck Store,52.37172,4.89619,https://amsterdamduckstore.com,,,n,,n,n,n,n,n,y,n,n,n,n,n
Duck Store (unsure),52.37483,4.88829,https://amsterdamduckstore.com,,,n,,n,n,n,n,n,y,n,n,n,n,n
Excalibur,52.37401378,4.899436184,https://www.excaliburcafe.nl,,,n,,n,n,y,n,n,n,n,n,n,n,n
Fabel Friet Nieuwendijk,52.37869,4.89488,https://fabelfriet.nl/?lang=en,,,n,,n,n,n,y,n,n,n,n,n,n,n
Fabel Friet Runstraat,52.36887,4.88406,https://fabelfriet.nl/?lang=en,,,n,,n,n,n,y,n,n,n,n,n,n,n
Fansasyshop Chimera,52.37226,4.89472,https://www.fantasyshopchimera.com/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=9721331175039072147,,,n,,n,n,n,n,n,y,n,n,n,n,n
Febo 1,52.37790269,4.89586888,https://www.febo.nl,,febo.png,n,,n,n,n,y,n,n,n,n,n,n,n
Febo 10,52.37369946,4.892694464,https://www.febo.nl,,febo.png,n,,n,n,n,y,n,n,n,n,n,n,n
Febo 2,52.37463055,4.899773878,https://www.febo.nl,,febo.png,n,,n,n,n,y,n,n,n,n,n,n,n
Febo 3,52.36473653,4.883781002,https://www.febo.nl,,febo.png,n,,n,n,n,y,n,n,n,n,n,n,n
Febo 4,52.37279818,4.878621597,https://www.febo.nl,,febo.png,n,,n,n,n,y,n,n,n,n,n,n,n
Febo 5,52.3744528,4.873093723,https://www.febo.nl,,febo.png,n,,n,n,n,y,n,n,n,n,n,n,n
Febo 6,52.36624227,4.868307087,https://www.febo.nl,,febo.png,n,,n,n,n,y,n,n,n,n,n,n,n
Febo 7,52.35388765,4.890803334,https://www.febo.nl,,febo.png,n,,n,n,n,y,n,n,n,n,n,n,n
Febo 8,52.35563065,4.900614188,https://www.febo.nl,,febo.png,n,,n,n,n,y,n,n,n,n,n,n,n
Febo 9,52.36642736,4.895215486,https://www.febo.nl,,febo.png,n,,n,n,n,y,n,n,n,n,n,n,n
Flower Market,52.36671,4.89293,https://www.amsterdam.info/shopping/flowermarket/,,,n,,n,n,n,n,y,n,n,n,n,n,n
Food Hallen,52.36634,4.86722,https://www.foodhallen.nl/en,,,n,,n,n,n,y,n,n,n,n,n,n,n
Freddy Fryday,52.37606823,4.892047379,https://www.freddyfryday.nl,,,n,,n,n,n,y,n,n,n,n,n,n,n
Glow mini-golf,52.37117,4.91171,https://www.glowminigolf.amsterdam,,,n,,n,n,n,n,y,n,n,n,n,n,n
Goatfarm Ridammerhoeve,52.31303287,4.824455026,https://www.geitenboerderij.nl/en,,,n,,n,n,n,n,y,n,n,n,n,n,n
Hans Egstorf Bakery,52.37023,4.88898,https://www.hansegstorf.com/nl,,,n,,n,n,n,y,n,n,n,n,n,n,n
Henk Comics,52.37398555,4.900321973,https://www.comics.nl,,,n,,n,n,n,n,n,y,n,n,n,n,n
Hill Street Blues,52.37541609,4.898231804,https://www.hillstreetblues.com,,,n,,n,n,y,n,n,n,n,n,n,n,n
Hortus Botanicus,52.36714417,4.907688764,https://www.dehortus.nl/en/,,,n,,n,n,n,n,y,n,n,n,n,n,n
Hotel City Garden,52.3591,4.87638,https://hotelcitygardenamsterdam.com/,,,n,,n,y,n,n,n,n,n,n,n,n,n
Hotel La Belle Vue,52.37344,4.88647,http://www.hotel-labellevue.com,,,n,,n,y,n,n,n,n,n,n,n,n,n
Kashmir Lounge,52.36404,4.86324,https://www.kashmirlounge.com,,,n,,n,n,y,n,n,n,n,n,n,n,n
Kookboekwinkel,52.38356394,4.885540659,https://www.kookboekhandel.com/?srsltid=AfmBOorTN34PBxcjQ8t4Lf49p613oKOqP6RfRmuT7P7zKVXAZ8_tPmmi,,,n,,n,n,n,n,n,y,n,n,n,n,n
Lambiek Comix,52.37237004,4.901930871,https://www.lambiek.net/?lan=dutch)-,,,n,,n,n,n,n,n,y,n,n,n,n,n
Lanskroon Bakery,52.36879,4.88813,https://www.lanskroon.nl,,,n,,n,n,n,y,n,n,n,n,n,n,n
Le Smash,52.37437343,4.900589502,https://www.le-smash.com,,,n,,n,n,n,y,n,n,n,n,n,n,n
LikeStationery,52.37793719,4.886738114,https://www.likestationery.com,,,,,n,n,n,n,n,y,n,n,n,n,n
Lost in Amsterdam,52.37848,4.89518,https://lostinamsterdam.com,,,n,,n,n,y,n,n,n,n,n,n,n,n
Mannekenpis Friet,52.37575,4.89621,https://mannekenpis.nl/en,,,n,,n,n,n,y,n,n,n,n,n,n,n
McDonald's 1,52.37748629,4.896395168,https://www.mcdonalds.com/nl/nl-nl.html,,mcdonalds-logo.png,n,,n,n,n,n,n,n,y,n,n,n,n
McDonald's 10,52.36288173,4.927789523,https://www.mcdonalds.com/nl/nl-nl.html,,mcdonalds-logo.png,n,,n,n,n,n,n,n,y,n,n,n,n
McDonald's 11,52.34607295,4.920148016,https://www.mcdonalds.com/nl/nl-nl.html,,mcdonalds-logo.png,y,5,n,n,n,n,n,n,y,n,n,n,n
McDonald's 12,52.31120115,4.760611939,https://www.mcdonalds.com/nl/nl-nl.html,,mcdonalds-logo.png,y,5,n,n,n,n,n,n,y,n,n,n,n
McDonald's 2,52.37690829,4.897633171,https://www.mcdonalds.com/nl/nl-nl.html,,mcdonalds-logo.png,n,,n,n,n,n,n,n,y,n,n,n,n
McDonald's 3,52.37377419,4.893792446,https://www.mcdonalds.com/nl/nl-nl.html,,mcdonalds-logo.png,n,,n,n,n,n,n,n,y,n,n,n,n
McDonald's 4,52.37400947,4.892786019,https://www.mcdonalds.com/nl/nl-nl.html,,mcdonalds-logo.png,y,5,n,n,n,n,n,n,y,n,n,n,n
McDonald's 5,52.37120461,4.892001486,https://www.mcdonalds.com/nl/nl-nl.html,,mcdonalds-logo.png,n,,n,n,n,n,n,n,y,n,n,n,n
McDonald's 6,52.36671806,4.893473051,https://www.mcdonalds.com/nl/nl-nl.html,,mcdonalds-logo.png,n,,n,n,n,n,n,n,y,n,n,n,n
McDonald's 7,52.36465261,4.883811704,https://www.mcdonalds.com/nl/nl-nl.html,,mcdonalds-logo.png,n,,n,n,n,n,n,n,y,n,n,n,n
McDonald's 8,52.3660258,4.866945458,https://www.mcdonalds.com/nl/nl-nl.html,,mcdonalds-logo.png,n,,n,n,n,n,n,n,y,n,n,n,n
McDonald's 9,52.3552198,4.889961818,https://www.mcdonalds.com/nl/nl-nl.html,,mcdonalds-logo.png,n,,n,n,n,n,n,n,y,n,n,n,n
