name,lat,lng,website,shop_key,logo,visited,rating,Coffeeshop,Transport,Bar,Food,Attraction,Shopping,Closed
De Driemaster,53.21837255,6.574551424,https://www.coffeeshopmenus.org/cs-driemaster.html,cs-driemaster,de_driemaster.png,,,y,n,n,n,n,n,y
De Medley,53.21453652,6.56684617,https://www.coffeeshopmenus.org/cs-medley.html,cs-medley,de_medley.png,,,y,n,n,n,n,n,n
De Schavuit,53.218148,6.573389939,https://www.coffeeshopmenus.org/cs-schavuit.html,cs-schavuit,de_schavuit.png,,,y,n,n,n,n,n,n
Dees Cafe,53.21727477,6.570552653,https://www.coffeeshopmenus.org/cs-deescafe.html,cs-deescafe,dees_cafe.png,,,y,n,n,n,n,n,y
Metamorphose,53.22036076,6.563658614,https://www.coffeeshopmenus.org/cs-metamorphose.html,cs-metamorphose,metamorphose.png,,,y,n,n,n,n,n,n
Rag-a-Muffin,53.22877324,6.559666319,https://www.coffeeshopmenus.org/cs-ragamuffin.html,cs-ragamuffin,rag_a_muffin.png,,,y,n,n,n,n,n,n
Retro,53.22393866,6.564481407,https://www.coffeeshopmenus.org/cs-retro.html,cs-retro,retro.png,,,y,n,n,n,n,n,n
Reykjavik,53.22169756,6.564852132,https://www.coffeeshopmenus.org/cs-reykjavik.html,cs-reykjavik,reykjavik.png,,,y,n,n,n,n,n,n
Vliegende Hollander,53.21476858,6.566763452,https://www.coffeeshopmenus.org/cs-vliegende-hollander.html,cs-vliegende-hollander,vliegende_hollander.png,,,y,n,n,n,n,n,n
