name,lat,lng,website,shop_key,logo,visited,rating,Coffeeshop,Transport,Bar,Food,Attraction,Shopping,Closed
de Boeddha,52.00641275,4.361432359,https://www.coffeeshopmenus.org/cs-boeddha.html,cs-boeddha,de_boeddha.png,,,y,n,n,n,n,n,n
De Vlouw,52.01268329,4.359058324,https://www.coffeeshopmenus.org/cs-vlouw.html,cs-vlouw,de_vlouw.png,,,y,n,n,n,n,n,n
The Future,52.01036058,4.357582322,https://www.coffeeshopmenus.org/cs-future-del.html,cs-future-del,the_future.png,,,y,n,n,n,n,n,n
The Game,52.00835553,4.36120106,https://www.coffeeshopmenus.org/cs-game.html,cs-game,the_game.png,,,y,n,n,n,n,n,n
,,,,,,,,y,n,n,n,n,n,n
,,,,,,,,n,y,n,n,n,n,n
