name,lat,lng,website,shop_key,logo,visited,rating,Coffeeshop,Transport,Bar,Food,Attraction,Shopping,Closed
7th Heaven,53.20287992,5.802539577,https://www.coffeeshopmenus.org/cs-7thheavenl.html,cs-7thheavenl,7th_heaven.png,,,y,n,n,n,n,n,n
de Os,53.20188978,5.799354032,https://www.coffeeshopmenus.org/cs-os.html,cs-os,de_os.png,,,y,n,n,n,n,n,n
de Zone,53.20213387,5.798327459,https://www.coffeeshopmenus.org/cs-zone.html,cs-zone,de_zone.png,,,y,n,n,n,n,n,n
Downtown,53.20308512,5.799379198,https://www.coffeeshopmenus.org/cs-downtown.html,cs-downtown,downtown.png,,,y,n,n,n,n,n,n
Liberty,53.20149154,5.795767215,https://www.coffeeshopmenus.org/cs-liberty-l.html,cs-liberty-l,liberty.png,,,y,n,n,n,n,n,n
Relax,53.20314729,5.802361733,https://www.coffeeshopmenus.org/cs-relax-lee.html,cs-relax-lee,relaxed.png,,,y,n,n,n,n,n,n
Repelsteeltje,53.2026056,5.796829158,https://www.coffeeshopmenus.org/cs-repelsteeltje.html,cs-repelsteeltje,repelsteeltje.png,,,y,n,n,n,n,n,n
Sacramento,53.20149883,5.795775793,https://www.coffeeshopmenus.org/cs-sacramento.html,cs-sacramento,sacramento.png,,,y,n,n,n,n,n,n
Utoop,53.2022465,5.797200052,https://www.coffeeshopmenus.org/cs-utoop.html,cs-utoop,utoop.png,,,y,n,n,n,n,n,n
