name,lat,lng,website,shop_key,logo,visited,rating,Coffeeshop,Transport,Bar,Food,Attraction,Shopping,Closed
de Walm,51.98594072,5.915337492,https://www.coffeeshopmenus.org/cs-walm.html,cs-walm,de_walm.png,,,y,n,n,n,n,n,n
Joint Venture,51.98208422,5.90523008,https://www.coffeeshopmenus.org/cs-jointventure.html,cs-jointventure,joint_venture.png,,,y,n,n,n,n,n,n
Lucky Luke,51.98601912,5.913830329,https://www.coffeeshopmenus.org/cs-lucky-luke.html,cs-lucky-luke,lucky_luke.png,,,y,n,n,n,n,n,n
Omigo,51.98119918,5.911143819,https://www.coffeeshopmenus.org/cs-omigo.html,cs-omigo,omigo.png,,,y,n,n,n,n,n,n
Speak Easy,51.98182143,5.903929887,https://www.coffeeshopmenus.org/cs-speakeasy.html,cs-speakeasy,speakeasy_2.png,,,y,n,n,n,n,n,n
Uncle Sam,51.98400028,5.92068953,https://www.coffeeshopmenus.org/cs-uncle-sam.html,cs-uncle-sam,uncle_sam.png,,,y,n,n,n,n,n,n
Zero Zero,51.98631613,5.914184202,https://www.coffeeshopmenus.org/cs-zero-zero-arn.html,cs-zero-zero-arn,zero_zero.png,,,y,n,n,n,n,n,n
