name,lat,lng,website,shop_key,logo,visited,rating,Coffeeshop,Transport,Bar,Food,Attraction,Shopping,Closed
de Baron,51.5915016,4.784694854,https://www.coffeeshopmenus.org/cs-baron.html,cs-baron,de_baron.png,,,y,n,n,n,n,n,n
Fly'n'Hy,51.58639001,4.777353663,https://www.coffeeshopmenus.org/cs-flynhy.html,cs-flynhy,flynhy.png,,,y,n,n,n,n,n,n
Majestic,51.5911453,4.784137357,https://www.coffeeshopmenus.org/cs-majestic.html,cs-majestic,majestic.png,,,y,n,n,n,n,n,n
Paradijs,51.58868814,4.778188795,https://www.coffeeshopmenus.org/cs-paradijs.html,cs-paradijs,paradijs.png,,,y,n,n,n,n,n,n
Pax de Boot,51.59042879,4.766141771,https://www.coffeeshopmenus.org/cs-paxdeboot.html,cs-paxdeboot,pax_de_boot.png,,,y,n,n,n,n,n,n
Purple Rain,51.59349524,4.779788958,https://www.coffeeshopmenus.org/cs-purplerain.html,cs-purplerain,purple_rain.png,,,y,n,n,n,n,n,n
Sky,51.58437451,4.760080824,https://www.coffeeshopmenus.org/cs-sky.html,cs-sky,sky.png,,,y,n,n,n,n,n,n
The Cat,51.58701542,4.805175669,https://www.coffeeshopmenus.org/cs-cat.html,cs-cat,the_cat.png,,,y,n,n,n,n,n,n
