shop_id,name,lat,lng,city,city_slug,province,address,postcode,website,shop_key,logo,visited,rating,status
cs-carmona,Carmona,52.35565,4.9011,Amsterdam,amsterdam,Noord-Holland,,,https://www.coffeeshopmenus.org/cs-carmona.html,cs-carmona,carmona.png,n,,open
cs-catch-33,Catch 33,52.38262,4.8799,Amsterdam,amsterdam,Noord-Holland,,,https://www.coffeeshopmenus.org/cs-catch-33.html,cs-catch-33,catch_33.png,n,,open
cs-central,Central,52.37677344,4.902097395,Amsterdam,amsterdam,Noord-Holland,,,https://www.coffeeshopmenus.org/cs-central.html,cs-central,central.png,n,,open
cs-chapiteau,Chapiteau,52.38244,4.87305,Amsterdam,amsterdam,Noord-Holland,,,https://www.coffeeshopmenus.org/cs-chapiteau.html,cs-chapiteau,chapiteau.png,n,,open
cs-cheech-chongs-2,Cheech & Chong's,52.37126,4.87142,Amsterdam,amsterdam,Noord-Holland,,,https://www.coffeeshopmenus.org/cs-cheech-chongs-2.html,cs-cheech-chongs-2,cheech_and_chongs_2.png,n,,open
cs-city-hall,City Hall,52.37154764,4.895761835,Amsterdam,amsterdam,Noord-Holland,,,https://www.coffeeshopmenus.org/cs-city-hall.html,cs-city-hall,cityhall.png,n,,open
cs-media,Club Media,52.35576,4.89193,Amsterdam,amsterdam,Noord-Holland,,,https://www.coffeeshopmenus.org/cs-media.html,cs-media,club_media.png,n,,open
cs-coffeeshop-amsterdam,CoffeeshopAmsterdam,52.380052,4.892882061,Amsterdam,amsterdam,Noord-Holland,,,https://www.coffeeshopmenus.org/cs-coffeeshop-amsterdam.html,cs-coffeeshop-amsterdam,coffeeshopamsterdam.png,n,,open
cs-greenhouse-cookies,Cookies,52.38026,4.89213,Amsterdam,amsterdam,Noord-Holland,,,https://www.coffeeshopmenus.org/cs-greenhouse-cookies.html,cs-greenhouse-cookies,greenhouse_cookies.png,y,4,open
cs-crash-light,Crash Light,52.35487,4.92227,Amsterdam,amsterdam,Noord-Holland,,,https://www.coffeeshopmenus.org/cs-crash-light.html,cs-crash-light,crashlight.png,n,,open
cs-crush,Crush,52.36576,4.88006,Amsterdam,amsterdam,Noord-Holland,,,https://www.coffeeshopmenus.org/cs-crush.html,cs-crush,crush.png,n,,open
cs-d-l,D&L,52.3572,4.90134,Amsterdam,amsterdam,Noord-Holland,,,https://www.coffeeshopmenus.org/cs-d-l.html,cs-d-l,d_and_l.png,n,,open
cs-bommel,de Bommel,52.3689,4.85363,Amsterdam,amsterdam,Noord-Holland,,,https://www.coffeeshopmenus.org/cs-bommel.html,cs-bommel,de_bommel.png,n,,open
cs-dampkring,De Dampkring,52.36773,4.89042,Amsterdam,amsterdam,Noord-Holland,,,https://www.coffeeshopmenus.org/cs-dampkring.html,cs-dampkring,dampkring.png,y,5,open
cs-kade,De Kade,52.3434,4.86436,Amsterdam,amsterdam,Noord-Holland,,,https://www.coffeeshopmenus.org/cs-kade.html,cs-kade,de_kade.png,y,4,open
cs-kroon,De Kroon,52.37596,4.89596,Amsterdam,amsterdam,Noord-Holland,,,https://www.coffeeshopmenus.org/cs-kroon.html,cs-kroon,de_kroon.png,n,,open
cs-overkant-hortus,de Overkant,52.36737,4.90661,Amsterdam,amsterdam,Noord-Holland,,,https://www.coffeeshopmenus.org/cs-overkant-hortus.html,cs-overkant-hortus,de_overkant_hortus.png,n,,open
cs-prijs,De Prijs,52.35798,4.85409,Amsterdam,amsterdam,Noord-Holland,,,https://www.coffeeshopmenus.org/cs-prijs.html,cs-prijs,de_prijs.png,n,,open
cs-supermarkt,de Supermarkt,52.3758,4.87366,Amsterdam,amsterdam,Noord-Holland,,,https://www.coffeeshopmenus.org/cs-supermarkt.html,cs-supermarkt,de_supermarkt.png,n,,open
cs-dna,DNA,52.34495,4.86444,Amsterdam,amsterdam,Noord-Holland,,,https://www.coffeeshopmenus.org/cs-dna.html,cs-dna,dna.png,y,3,open
cs-dolphins,Dolphins,52.3656,4.88518,Amsterdam,amsterdam,Noord-Holland,,,https://www.coffeeshopmenus.org/cs-dolphins.html,cs-dolphins,dolphins.png,n,,open
cs-eastwood,Eastwood,52.36518,4.92802,Amsterdam,amsterdam,Noord-Holland,,,https://www.coffeeshopmenus.org/cs-eastwood.html,cs-eastwood,eastwood.png,n,,open
cs-easy-times,Easy Times,52.36434,4.88517,Amsterdam,amsterdam,Noord-Holland,,,https://www.coffeeshopmenus.org/cs-easy-times.html,cs-easy-times,easy_times.png,n,,open
cs-easytimes2,Easy Times 2,52.36651,4.89022,Amsterdam,amsterdam,Noord-Holland,,,https://www.coffeeshopmenus.org/cs-easytimes2.html,cs-easytimes2,easy_times_2.png,n,,open
cs-marssa,El Marssa,52.36903,4.85918,Amsterdam,amsterdam,Noord-Holland,,,https://www.coffeeshopmenus.org/cs-marssa.html,cs-marssa,el_marssa.png,n,,open
cs-family-first,Family First,52.36701,4.89528,Amsterdam,amsterdam,Noord-Holland,,,https://www.coffeeshopmenus.org/cs-family-first.html,cs-family-first,family_first.png,y,3,open
ams-flash-back,Flash Back,52.3687659,4.8530074,Amsterdam,amsterdam,Noord-Holland,,,https://greenmeister.nl/coffeeshop/flash-back-amsterdam,ams-flash-back,,n,,open
cs-flower-power,Flower Power,52.37277,4.87857,Amsterdam,amsterdam,Noord-Holland,,,https://www.coffeeshopmenus.org/cs-flower-power.html,cs-flower-power,flower_power.png,n,,open
cs-free-i,Free I,52.36601881,4.893461683,Amsterdam,amsterdam,Noord-Holland,,,https://www.coffeeshopmenus.org/cs-free-i.html,cs-free-i,free_i.png,n,,open
cs-freedom,Freedom,52.38261,4.87117,Amsterdam,amsterdam,Noord-Holland,,,https://www.coffeeshopmenus.org/cs-freedom.html,cs-freedom,freedom.png,n,,open
cs-funnypeople2,Funny People,52.40194,4.8984,Amsterdam,amsterdam,Noord-Holland,,,https://www.coffeeshopmenus.org/cs-funnypeople2.html,cs-funnypeople2,funny_people_2.png,n,,open
cs-get-down,Get Down,52.36394,4.88371,Amsterdam,amsterdam,Noord-Holland,,,https://www.coffeeshopmenus.org/cs-get-down.html,cs-get-down,get_down_to_it.png,y,4,open
cs-goa,Goa,52.37122,4.89865,Amsterdam,amsterdam,Noord-Holland,,,https://www.coffeeshopmenus.org/cs-goa.html,cs-goa,goa.png,y,4,open
cs-green-place,Green Place,52.37206,4.89941,Amsterdam,amsterdam,Noord-Holland,,,https://www.coffeeshopmenus.org/cs-green-place.html,cs-green-place,green_place.png,y,3,open
cs-green-place-2,Green Place 2,52.37938,4.89399,Amsterdam,amsterdam,Noord-Holland,,,https://www.coffeeshopmenus.org/cs-green-place-2.html,cs-green-place-2,green_place_2.png,n,,open
cs-greenhouse-centrum,Greenhouse Centrum,52.37152,4.89569,Amsterdam,amsterdam,Noord-Holland,,,https://www.coffeeshopmenus.org/cs-greenhouse-centrum.html,cs-greenhouse-centrum,greenhouse_centrum.png,y,4,open
cs-greenhouse-effect-1,Greenhouse Effect,52.3728,4.9,Amsterdam,amsterdam,Noord-Holland,,,https://www.coffeeshopmenus.org/cs-greenhouse-effect-1.html,cs-greenhouse-effect-1,greenhouse_effect.png,n,,open
cs-greenhouse-namaste,Greenhouse Namaste,52.36673,4.90222,Amsterdam,amsterdam,Noord-Holland,,,https://www.coffeeshopmenus.org/cs-greenhouse-namaste.html,cs-greenhouse-namaste,greenhouse_namaste.png,n,,open
ams-green-house-tol,Green House Tol,52.3523507,4.9034577,Amsterdam,amsterdam,Noord-Holland,,,https://greenhousebrands.com/gh-coffeeshops-v2/,ams-green-house-tol,greenhouse_namaste.png,n,,open
cs-grey-area,Grey Area,52.3746,4.88887,Amsterdam,amsterdam,Noord-Holland,,,https://www.coffeeshopmenus.org/cs-grey-area.html,cs-grey-area,GreyAreaNew.png,y,4,open
cs-happy-days-ams,Happy Days,52.34659564,4.911316878,Amsterdam,amsterdam,Noord-Holland,,,https://www.coffeeshopmenus.org/cs-happy-days-ams.html,cs-happy-days-ams,happy_days.png,n,,open
cs-happy-feelings,Happy Feelings,52.3652,4.88581,Amsterdam,amsterdam,Noord-Holland,,,https://www.coffeeshopmenus.org/cs-happy-feelings.html,cs-happy-feelings,happy_feelings.png,n,,open
cs-happy-people,Happy People,52.36526,4.92588,Amsterdam,amsterdam,Noord-Holland,,,https://www.coffeeshopmenus.org/cs-happy-people.html,cs-happy-people,happy_people.png,n,,open
cs-hashtag,Hashtag,52.36392,4.89611,Amsterdam,amsterdam,Noord-Holland,,,https://www.coffeeshopmenus.org/cs-hashtag.html,cs-hashtag,hashtag.png,y,3,open
cs-ballonnetje,Het Ballonnetje,52.36346,4.91067,Amsterdam,amsterdam,Noord-Holland,,,https://www.coffeeshopmenus.org/cs-ballonnetje.html,cs-ballonnetje,het_ballonnetje.png,n,,open
cs-gelderse,het Geldese,52.37493,4.90135,Amsterdam,amsterdam,Noord-Holland,,,https://www.coffeeshopmenus.org/cs-gelderse.html,cs-gelderse,het_gelderse.png,n,,open
cs-huntersdowntown,Hunter's Downtown,52.36549,4.89767,Amsterdam,amsterdam,Noord-Holland,,,https://www.coffeeshopmenus.org/cs-huntersdowntown.html,cs-huntersdowntown,hunters_downtown.png,y,4,open
cs-huntersnorthpapaverweg,Hunter's North - Papaverweg,52.39348794,4.912818423,Amsterdam,amsterdam,Noord-Holland,,,https://www.coffeeshopmenus.org/cs-huntersnorthpapaverweg.html,cs-huntersnorthpapaverweg,hunters_north_papaverweg.png,n,,open
cs-huntersnorthwaterlandplein,Hunter's North - Waterlandplein,52.39224823,4.956230183,Amsterdam,amsterdam,Noord-Holland,,,https://www.coffeeshopmenus.org/cs-huntersnorthwaterlandplein.html,cs-huntersnorthwaterlandplein,hunters_north_waterlandplein.png,n,,open
cs-hunters-mercator,Hunter's West,52.37000103,4.849081757,Amsterdam,amsterdam,Noord-Holland,,,https://www.coffeeshopmenus.org/cs-hunters-mercator.html,cs-hunters-mercator,hunters_west.png,n,,open
cs-ibiza,Ibiza,52.35738,4.90208,Amsterdam,amsterdam,Noord-Holland,,,https://www.coffeeshopmenus.org/cs-ibiza.html,cs-ibiza,ibiza.png,n,,open
cs-johnny,Johnny,52.36995839,4.882074989,Amsterdam,amsterdam,Noord-Holland,,,https://www.coffeeshopmenus.org/cs-johnny.html,cs-johnny,johnny.png,n,,open
cs-jolly-joker,Jolly Joker,52.37303,4.90021,Amsterdam,amsterdam,Noord-Holland,,,https://www.coffeeshopmenus.org/cs-jolly-joker.html,cs-jolly-joker,jolly_joker.png,n,,open
cs-jollygood,Jollygood,52.37188,4.87907,Amsterdam,amsterdam,Noord-Holland,,,https://www.coffeeshopmenus.org/cs-jollygood.html,cs-jollygood,Jollygood.png,n,,open
