name,city,address,shop_url,show_in_admin
Boerejongens Centrum,Amsterdam,"Boerejongens Centrum, Utrechtsestraat 21, 1017 VH Amsterdam",https://www.coffeeshopmenus.org/cs-boerejongens-cent.html,1
Boerejongens Sloterdijk,Amsterdam,"Boerejongens Sloterdijk, Humberweg 2, Amsterdam 1043 AL",https://www.coffeeshopmenus.org/cs-boerejongens-slot.html,1
Boerejongens West,Amsterdam,"Boerejongens West, Baarsjesweg 239, Amsterdam 1058 AA",https://www.coffeeshopmenus.org/cs-boerejongens-west.html,1
de Bommel,Amsterdam,"de Bommel, Balboastraat 19, 1057 VT Amsterdam",https://www.coffeeshopmenus.org/cs-bommel.html,1
The Border,Amsterdam,"The Border, Amstelveenseweg 1160, Amsterdam 1081 JW",https://www.coffeeshopmenus.org/cs-border.html,1
Bronx,Amsterdam,"Bronx, Marnixstraat 92, 1015 VZ Amsterdam",https://www.coffeeshopmenus.org/cs-bronx.html,1
Bulldog Energy,Amsterdam,"Bulldog Energy, Oudezijds Voorburgwal 220, Amsterdam 1012 GJ",https://www.coffeeshopmenus.org/cs-bulldog-energy.html,1
Bulldog Palace,Amsterdam,"Bulldog Palace, Leidseplein 17, Amsterdam 1017 PS",https://www.coffeeshopmenus.org/cs-bulldog-palace.html,1
Bullwackie,Amsterdam,"Bullwackie, Woestduinstraat 76, 1058 TJ Amsterdam",https://www.coffeeshopmenus.org/cs-bullwackie.html,1
Bushdocter,Amsterdam,"Bushdocter, Thorbeckeplein 28, 1017 CS Amsterdam",https://www.coffeeshopmenus.org/cs-bushdocter.html,1
Carmona,Amsterdam,"Carmona, 2e Jan van der Heijdenstraat 43, 1074 TL Amsterdam",https://www.coffeeshopmenus.org/cs-carmona.html,1
Catch 33,Amsterdam,"Catch 33, Nassaukade 33, 1052 CK Amsterdam",https://www.coffeeshopmenus.org/cs-catch-33.html,1
Chapiteau,Amsterdam,"Chapiteau, Van Boetzelaerstraat 31, 1051 CT Amsterdam",https://www.coffeeshopmenus.org/cs-chapiteau.html,1
Cheech & Chong's 2,Amsterdam,"Cheech & Chong's 2, De Clercqstraat 30, 1052 NE Amsterdam",https://www.coffeeshopmenus.org/cs-cheech-chongs-2.html,1
City Hall,Amsterdam,"City Hall, Oudezijds Voorburgwal 189, Amsterdam 1012 EW",https://www.coffeeshopmenus.org/cs-city-hall.html,1
CoffeeshopAmsterdam,Amsterdam,"CoffeeshopAmsterdam, Haarlemmerstraat 44, 1013 ES, Amsterdam",https://www.coffeeshopmenus.org/cs-coffeeshop-amsterdam.html,1
The Corner,Amsterdam,"The Corner, Spaarndammerdijk 9, Amsterdam 1013 ZM",https://www.coffeeshopmenus.org/cs-corner.html,1
CrashLight,Amsterdam,"CrashLight, Pretoriusstraat 67, 1092 GB Amsterdam",https://www.coffeeshopmenus.org/cs-crash-light.html,1
Crush,Amsterdam,"Crush, Marnixstraat 383, 1016 XR Amsterdam",https://www.coffeeshopmenus.org/cs-crush.html,1
Dampkring,Amsterdam,"Dampkring, Handboogstraat 29, 1012 XM Amsterdam",https://www.coffeeshopmenus.org/cs-dampkring.html,1
D&L,Amsterdam,"D&L, Govert Flinckstraat 323, 1074 CB Amsterdam",https://www.coffeeshopmenus.org/cs-d-l.html,1
DNA,Amsterdam,"DNA, Achillesstraat 104, 1076 RH Amsterdam",https://www.coffeeshopmenus.org/cs-dna.html,1
Tha Dogg House,Amsterdam,"Tha Dogg House, Marnixstraat 333, Amsterdam 1016 TC",https://www.coffeeshopmenus.org/cs-dogghouse.html,1
Eastwood,Amsterdam,"Eastwood, Pieter Vlamingstraat 286, 1093 AK Amsterdam",https://www.coffeeshopmenus.org/cs-eastwood.html,1
Easy Times,Amsterdam,"Easy Times, Prinsengracht 476, 1017 KG Amsterdam",https://www.coffeeshopmenus.org/cs-easy-times.html,1
Easy Times 2,Amsterdam,"Easy Times 2, Reguliersdwarsstraat 29, Amsterdam 1017 BJ",https://www.coffeeshopmenus.org/cs-easytimes2.html,1
Family First,Amsterdam,"Family First, Amstel 36, Amsterdam 1017 AB",https://www.coffeeshopmenus.org/cs-family-first.html,1
Flower Power,Amsterdam,"Flower Power, Rozengracht 139, 1016 LV Amsterdam",https://www.coffeeshopmenus.org/cs-flower-power.html,1
Freedom,Amsterdam,"Freedom, Van Hogendorpstraat 201, 1051 CA Amsterdam",https://www.coffeeshopmenus.org/cs-freedom.html,1
Free I,Amsterdam,"Free I, Reguliersdwarsstraat 70, 1017 BN Amsterdam",https://www.coffeeshopmenus.org/cs-free-i.html,1
Funny People 2,Amsterdam,"Funny People 2, Tt. Vasumweg 4C, Amsterdam 1033 SC",https://www.coffeeshopmenus.org/cs-funnypeople2.html,1
't Gierenest,Amsterdam,"'t Gierenest, Amstelveenseweg 61, 1075 VV Amsterdam",https://www.coffeeshopmenus.org/cs-geirenest.html,1
het Gelderse,Amsterdam,"het Gelderse, Geldersekade 54, 1012 BK Amsterdam",https://www.coffeeshopmenus.org/cs-gelderse.html,1
Get Down To It,Amsterdam,"Get Down To It, Korte Leidsedwarsstraat 77-79, 1017 PW Amsterdam",https://www.coffeeshopmenus.org/cs-get-down.html,1
Greenhouse Centrum,Amsterdam,"Greenhouse Centrum, Oudezijds Voorburgwal 191, 1012 EW Amsterdam",https://www.coffeeshopmenus.org/cs-greenhouse-centrum.html,1
Greenhouse Cookies,Amsterdam,"Greenhouse Cookies, Haarlemmerstraat 64, Amsterdam 1013 ET",https://www.coffeeshopmenus.org/cs-greenhouse-cookies.html,1
Greenhouse Effect,Amsterdam,"Greenhouse Effect, Nieuwmarkt 14, Amsterdam 1012 CR",https://www.coffeeshopmenus.org/cs-greenhouse-effect-1.html,1
Greenhouse Namaste,Amsterdam,"Greenhouse Namaste, Waterlooplein 345, Amsterdam 1011 PG",https://www.coffeeshopmenus.org/cs-greenhouse-namaste.html,1
Greenhouse Strain Hunters,Amsterdam,"Greenhouse Strain Hunters, Singel 387, 1012 WN Amsterdam",https://www.coffeeshopmenus.org/cs-greenhouse-strain-hunters.html,1
Green Place,Amsterdam,"Green Place, Kloveniersburgwal 4, 1012 CT Amsterdam",https://www.coffeeshopmenus.org/cs-green-place.html,1
Green Place 2,Amsterdam,"Green Place 2, Haarlemmerstraat 6, Amsterdam 1013 ER",https://www.coffeeshopmenus.org/cs-green-place-2.html,1
Grey Area,Amsterdam,"Grey Area, Oude Leliestraat 2, 1015 AW Amsterdam",https://www.coffeeshopmenus.org/cs-grey-area.html,1
Happy Days,Amsterdam,"Happy Days, Amsteldijk 139, Amsterdam 1079 LE",https://www.coffeeshopmenus.org/cs-happy-days-ams.html,1
Happy Feelings,Amsterdam,"Happy Feelings, Kerkstraat 51, 1017 GC Amsterdam",https://www.coffeeshopmenus.org/cs-happy-feelings.html,1
