name,lat,lng,website,logo,visited,rating,Coffeeshop,Hotel,Bar,Food,Attraction,Shopping,McDonald's,Albert Heijn
Moco Museum,52.3588,4.88213,https://www.mocomuseum.com/amsterdam/?bg_source=ga&bg_campaign=10280506756&bg_kw=kwd-318545806002-mi--pi--ppi-&bg_source_id=681555419973&gad_source=1&gad_campaignid=10280506756&gbraid=0AAAAADcgcgnmCi6ohH8GOM1COE2N5wdYm&gclid=Cj0KCQiA5uDIBhDAARIsAOxj0CGqSgmPBg5I5-LgapA-qw_gH4X4gp9isfnDTRKDveXD9k1ln6s6nn4aAq8YEALw_wcB,,n,,n,n,n,n,y,n,n,n
Nicolassbasiliek,52.37667,4.90083,"https://en.wikipedia.org/wiki/Basilica_of_Saint_Nicholas,_Amsterdam",,n,,n,n,n,n,y,n,n,n
Nieuwe Kerk,52.37374,4.89097,https://www.nieuwekerk.nl,,n,,n,n,n,n,y,n,n,n
Ons' Lieve Heer op Solder,52.37512,4.89949,https://opsolder.nl/en/museum-our-lord-in-the-attic/,,n,,n,n,n,n,y,n,n,n
Oude Kerk,52.37433,4.89739,https://oudekerk.nl,,n,,n,n,n,n,y,n,n,n
Prinseneiland,52.38573,4.8877,https://amsterdamian.com/see/amsterdam/prinseneiland/,,n,,n,n,n,n,y,n,n,n
Rembrandt's House,52.36946,4.90133,https://www.rembrandthuis.nl/en/,,n,,n,n,n,n,y,n,n,n
Rembrandtplein,52.366,4.89651,https://en.wikipedia.org/wiki/Rembrandtplein,,n,,n,n,n,n,y,n,n,n
Rijksmuseum,52.35972,4.885,https://www.rijksmuseum.nl/en,,n,,n,n,n,n,y,n,n,n
Royal Palace of Amsterdam,52.37317,4.89202,https://www.paleisamsterdam.nl/en/,,n,,n,n,n,n,y,n,n,n
Skinny Bridge,52.36359,4.90237,https://en.wikipedia.org/wiki/Magere_Brug,,n,,n,n,n,n,y,n,n,n
The Begijnhof,52.36942,4.89049,https://www.iamsterdam.com/en/whats-on/calendar/attractions-and-sights/sights/begijnhof,,n,,n,n,n,n,y,n,n,n
Trompettersteeg,52.3737,4.89785,https://www.atlasobscura.com/places/trompettersteeg,,n,,n,n,n,n,y,n,n,n
Van Gogh Museum,52.35809,4.88117,https://www.vangoghmuseum.nl/en,,n,,n,n,n,n,y,n,n,n
Walking Tour,52.37265,4.89362,https://freewalkingtoursamsterdam.com/dark-side-tour/,,n,,n,n,n,n,y,n,n,n
Westerkerk,52.37454,4.88343,https://en.wikipedia.org/wiki/Westerkerk,,n,,n,n,n,n,y,n,n,n
Brouwerij 't IJ,52.36666,4.92652,https://www.brouwerijhetij.nl,,n,,n,n,n,n,y,n ,n,n
Akkerman Fountain Pen Shop,52.36936,4.89322,https://www.pwakkerman.com,,n,,n,n,n,n,n,y,n,n
Café Analog,52.37326,4.88789,https://www.cafe-analog.nl,,n,,n,n,n,n,n,y,n,n
Crafted Stories,52.3794329,4.886567898,https://www.craftedstories.nl/,,,,n,n,n,n,n,y,n,n
de Posthumus Winkel,52.37064,4.89074,https://www.posthumuswinkel.nl,,n,,n,n,n,n,n,y,n,n
Duck Store,52.37007,4.89245,https://amsterdamduckstore.com,,n,,n,n,n,n,n,y,n,n
Duck Store,52.37172,4.89619,https://amsterdamduckstore.com,,n,,n,n,n,n,n,y,n,n
Duck Store (unsure),52.37483,4.88829,https://amsterdamduckstore.com,,n,,n,n,n,n,n,y,n,n
Fansasyshop Chimera,52.37226,4.89472,https://www.fantasyshopchimera.com/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=9721331175039072147,,n,,n,n,n,n,n,y,n,n
LikeStationery,52.37793719,4.886738114,https://www.likestationery.com,,,,n,n,n,n,n,y,n,n
Miffy Shop,52.36299,4.88831,https://www.dewinkelvannijntje.nl/en/,,n,,n,n,n,n,n,y,n,n
Misc Store,52.36941,4.8803,https://misc-store.com,,n,,n,n,n,n,n,y,n,n
Moleskine Store,52.37033,4.89148,http://www.moleskine.com/,,n,,n,n,n,n,n,y,n,n
Oudemanhuispoort,52.36924,4.89658,https://www.amsterdamsights.com/shopping/oudemanhuispoort.html,,n,,n,n,n,n,n,y,n,n
The Headshop,52.3709,4.89895,https://www.headshop.nl,,n,,n,n,n,n,n,y,n,n
Van der Heijde Kantoorvakhandel,52.38256248,4.887348612,https://www.vanderheijde.nl,,,,n,n,n,n,n,y,n,n
McDonald's 1,52.37748629,4.896395168,https://www.mcdonalds.com/nl/nl-nl.html,mcdonalds-logo.png,n,,n,n,n,n,n,n,y,n
McDonald's 10,52.36288173,4.927789523,https://www.mcdonalds.com/nl/nl-nl.html,mcdonalds-logo.png,n,,n,n,n,n,n,n,y,n
McDonald's 11,52.34607295,4.920148016,https://www.mcdonalds.com/nl/nl-nl.html,mcdonalds-logo.png,y,5,n,n,n,n,n,n,y,n
McDonald's 12,52.31120115,4.760611939,https://www.mcdonalds.com/nl/nl-nl.html,mcdonalds-logo.png,y,5,n,n,n,n,n,n,y,n
McDonald's 2,52.37690829,4.897633171,https://www.mcdonalds.com/nl/nl-nl.html,mcdonalds-logo.png,n,,n,n,n,n,n,n,y,n
McDonald's 3,52.37377419,4.893792446,https://www.mcdonalds.com/nl/nl-nl.html,mcdonalds-logo.png,n,,n,n,n,n,n,n,y,n
McDonald's 4,52.37400947,4.892786019,https://www.mcdonalds.com/nl/nl-nl.html,mcdonalds-logo.png,y,5,n,n,n,n,n,n,y,n
McDonald's 5,52.37120461,4.892001486,https://www.mcdonalds.com/nl/nl-nl.html,mcdonalds-logo.png,n,,n,n,n,n,n,n,y,n
McDonald's 6,52.36671806,4.893473051,https://www.mcdonalds.com/nl/nl-nl.html,mcdonalds-logo.png,n,,n,n,n,n,n,n,y,n
McDonald's 7,52.36465261,4.883811704,https://www.mcdonalds.com/nl/nl-nl.html,mcdonalds-logo.png,n,,n,n,n,n,n,n,y,n
McDonald's 8,52.3660258,4.866945458,https://www.mcdonalds.com/nl/nl-nl.html,mcdonalds-logo.png,n,,n,n,n,n,n,n,y,n
McDonald's 9,52.3552198,4.889961818,https://www.mcdonalds.com/nl/nl-nl.html,mcdonalds-logo.png,n,,n,n,n,n,n,n,y,n
Albert Heijn 1,52.37831194,4.895396528,https://www.ah.nl,ah.svg,n,,n,n,n,n,n,n,n,y
Albert Heijn 10,52.36265713,4.874607847,https://www.ah.nl,ah.svg,n,,n,n,n,n,n,n,n,y
Albert Heijn 11,52.35713161,4.879516329,https://www.ah.nl,ah.svg,n,,n,n,n,n,n,n,n,y
Albert Heijn 12,52.35966672,4.891527266,https://www.ah.nl,ah.svg,n,,n,n,n,n,n,n,n,y
Albert Heijn 13,52.35767133,4.897097674,https://www.ah.nl,ah.svg,n,,n,n,n,n,n,n,n,y
Albert Heijn 14,52.35579785,4.911118144,https://www.ah.nl,ah.svg,n,,n,n,n,n,n,n,n,y
Albert Heijn 15,52.36219021,4.912416039,https://www.ah.nl,ah.svg,n,,n,n,n,n,n,n,n,y
Albert Heijn 16,52.36667498,4.87043694,https://www.ah.nl,ah.svg,n,,n,n,n,n,n,n,n,y
Albert Heijn 17,52.37088162,4.870589122,https://www.ah.nl,ah.svg,n,,n,n,n,n,n,n,n,y
Albert Heijn 18,52.36988436,4.881713685,https://www.ah.nl,ah.svg,n,,n,n,n,n,n,n,n,y
Albert Heijn 19,52.36873956,4.903383216,https://www.ah.nl,ah.svg,n,,n,n,n,n,n,n,n,y
Albert Heijn 2,52.37602275,4.906666844,https://www.ah.nl,ah.svg,n,,n,n,n,n,n,n,n,y
Albert Heijn 3,52.37393538,4.883935919,https://www.ah.nl,ah.svg,n,,n,n,n,n,n,n,n,y
Albert Heijn 4,52.37285745,4.890589624,https://www.ah.nl,ah.svg,n,,n,n,n,n,n,n,n,y
Albert Heijn 5,52.37266176,4.899896549,https://www.ah.nl,ah.svg,n,,n,n,n,n,n,n,n,y
Albert Heijn 6,52.36989054,4.881701214,https://www.ah.nl,ah.svg,n,,n,n,n,n,n,n,n,y
Albert Heijn 7,52.36699716,4.888991506,https://www.ah.nl,ah.svg,n,,n,n,n,n,n,n,n,y
Albert Heijn 8,52.36670999,4.894343649,https://www.ah.nl,ah.svg,n,,n,n,n,n,n,n,n,y
Albert Heijn 9,52.3634474,4.88199332,https://www.ah.nl,ah.svg,n,,n,n,n,n,n,n,n,y
Vliger,52.36698945,4.895321787,http://www.vliegerpapier.nl/,,n,,n,n,n,n,n,y,n,n
ProGram,52.35612124,4.891036833,https://www.coffeeshopmenus.org/cs-program.html,program.png,n,,y,n,n,n,n,n,n,n
The Greasy Spoon,52.36813533,4.875104677,https://www.instagram.com/stories/the.greasy.spoon/,greasyspoon.jpg,n,,n,n,n,y,n,n,n,n
Central,52.37677344,4.902097395,https://www.coffeeshopmenus.org/cs-central.html,central.png,n,,y,n,n,n,n,n,n,n
