name,lat,lng,website,logo,visited,rating,Coffeeshop,Hotel,Bar,Food,Attraction,Shopping,McDonald's,Albert Heijn
Dolphins,52.3656,4.88518,https://www.coffeeshopmenus.org/cs-dolphins.html,dolphins.png,n,,y,n,n,n,n,n,n,n
Eastwood,52.36518,4.92802,https://www.coffeeshopmenus.org/cs-eastwood.html,eastwood.png,n,,y,n,n,n,n,n,n,n
Easy Times,52.36434,4.88517,https://www.coffeeshopmenus.org/cs-easy-times.html,easy_times.png,n,,y,n,n,n,n,n,n,n
Easy Times 2,52.36651,4.89022,https://www.coffeeshopmenus.org/cs-easytimes2.html,easy_times_2.png,n,,y,n,n,n,n,n,n,n
El Marssa,52.36903,4.85918,https://www.coffeeshopmenus.org/cs-marssa.html,el_marssa.png,n,,y,n,n,n,n,n,n,n
Family First,52.36701,4.89528,https://www.coffeeshopmenus.org/cs-family-first.html,family_first.png,y,3,y,n,n,n,n,n,n,n
Flower Power,52.37277,4.87857,https://www.coffeeshopmenus.org/cs-flower-power.html,flower_power.png,n,,y,n,n,n,n,n,n,n
Freedom,52.38261,4.87117,https://www.coffeeshopmenus.org/cs-freedom.html,freedom.png,n,,y,n,n,n,n,n,n,n
Funny People,52.40194,4.8984,https://www.coffeeshopmenus.org/cs-funnypeople2.html,funny_people_2.png,n,,y,n,n,n,n,n,n,n
Get Down,52.36394,4.88371,https://www.coffeeshopmenus.org/cs-get-down.html,get_down_to_it.png,y,4,y,n,n,n,n,n,n,n
Goa,52.37122,4.89865,https://www.coffeeshopmenus.org/cs-goa.html,goa.png,n,,y,n,n,n,n,n,n,n
Green Place,52.37206,4.89941,https://www.coffeeshopmenus.org/cs-green-place.html,green_place.png,y,3,y,n,n,n,n,n,n,n
Green Place 2,52.37938,4.89399,https://www.coffeeshopmenus.org/cs-green-place-2.html,green_place_2.png,n,,y,n,n,n,n,n,n,n
Greenhouse Centrum,52.37152,4.89569,https://www.coffeeshopmenus.org/cs-greenhouse-centrum.html,greenhouse_centrum.png,n,,y,n,n,n,n,n,n,n
Greenhouse Effect,52.3728,4.9,https://www.coffeeshopmenus.org/cs-greenhouse-effect-1.html,greenhouse_effect.png,n,,y,n,n,n,n,n,n,n
Greenhouse Namaste,52.36673,4.90222,https://www.coffeeshopmenus.org/cs-greenhouse-namaste.html,greenhouse_namaste.png,n,,y,n,n,n,n,n,n,n
Grey Area,52.3746,4.88887,https://www.coffeeshopmenus.org/cs-grey-area.html,GreyAreaNew.png,y,4,y,n,n,n,n,n,n,n
Happy Feelings,52.3652,4.88581,https://www.coffeeshopmenus.org/cs-happy-feelings.html,happy_feelings.png,n,,y,n,n,n,n,n,n,n
Happy People,52.36526,4.92588,https://www.coffeeshopmenus.org/cs-happy-people.html,happy_people.png,n,,y,n,n,n,n,n,n,n
Hashtag,52.36392,4.89611,https://www.coffeeshopmenus.org/cs-hashtag.html,hashtag.png,n,,y,n,n,n,n,n,n,n
Het Ballonnetje,52.36346,4.91067,https://www.coffeeshopmenus.org/cs-ballonnetje.html,het_ballonnetje.png,n,,y,n,n,n,n,n,n,n
het Geldese,52.37493,4.90135,https://www.coffeeshopmenus.org/cs-gelderse.html,het_gelderse.png,n,,y,n,n,n,n,n,n,n
Hunter's Downtown,52.36549,4.89767,https://www.coffeeshopmenus.org/cs-huntersdowntown.html,hunters_downtown.png,n,,y,n,n,n,n,n,n,n
Ibiza,52.35738,4.90208,https://www.coffeeshopmenus.org/cs-ibiza.html,ibiza.png,n,,y,n,n,n,n,n,n,n
Jolly Joker,52.37303,4.90021,https://www.coffeeshopmenus.org/cs-jolly-joker.html,jolly_joker.png,n,,y,n,n,n,n,n,n,n
Kadinski,52.37038,4.88942,https://www.coffeeshopmenus.org/cs-kadinsky.html,kadinsky.png,y,3,y,n,n,n,n,n,n,n
Kadinski 2,52.37422,4.89347,https://www.coffeeshopmenus.org/cs-kadinsky2.html,kadinsky_2.png,n,,y,n,n,n,n,n,n,n
Kadinski 3,52.36932,4.893,https://www.coffeeshopmenus.org/cs-kadinsky3.html,kadinsky_3.png,n,,y,n,n,n,n,n,n,n
Kashmir,52.36408,4.86301,https://www.coffeeshopmenus.org/cs-kashmir-coffeeshop.html,kashmir_coffeeshop.png,n,,y,n,n,n,n,n,n,n
Katsu,52.35491,4.89339,https://www.coffeeshopmenus.org/cs-katsu.html,katsu.png,n,,y,n,n,n,n,n,n,n
La Tertulia,52.36953,4.88237,https://www.coffeeshopmenus.org/cs-tertulia.html,la_tertulia.png,n,,y,n,n,n,n,n,n,n
Massawa,52.36745,4.8619,https://www.coffeeshopmenus.org/cs-marssa.html,massawa.png,n,,y,n,n,n,n,n,n,n
Mediterrane,52.37556,4.89167,https://www.coffeeshopmenus.org/cs-mediterrane.html,mediterrane_drewissharing.png,n,,y,n,n,n,n,n,n,n
Millennium,52.36754,4.86405,https://www.coffeeshopmenus.org/cs-millennium.html,millennium.png,n,,y,n,n,n,n,n,n,n
Mr. K,52.37188,4.87907,https://www.coffeeshopmenus.org/cs-mr-k.html,mr_ks.png,n,,y,n,n,n,n,n,n,n
Nachtegaal,52.354,4.9194,https://www.coffeeshopmenus.org/cs-nachtegaal.html,nachtegaal.png,n,,y,n,n,n,n,n,n,n
New Amsterdam,52.36698,4.85282,https://www.coffeeshopmenus.org/cs-new-amsterdam.html,new_amsterdam.png,n,,y,n,n,n,n,n,n,n
New Times,52.37056,4.88913,https://www.coffeeshopmenus.org/cs-new-times.html,new_times.png,y,3,y,n,n,n,n,n,n,n
Nice Place,52.35341,4.89966,https://www.coffeeshopmenus.org/cs-nice-place.html,nice_place.png,n,,y,n,n,n,n,n,n,n
NinetySix,52.36357,4.8633,https://www.coffeeshopmenus.org/cs-96.html,96.png,n,,y,n,n,n,n,n,n,n
Noord,52.38366,4.91253,https://www.coffeeshopmenus.org/cs-noord.html,noon.png,n,,y,n,n,n,n,n,n,n
Oost,52.35637,4.91633,https://www.coffeeshopmenus.org/cs-oost.html,coffeeshop_oost.png,n,,y,n,n,n,n,n,n,n
Pacific,52.35309,4.88472,https://www.coffeeshopmenus.org/cs-pacific.html,pacific.png,n,,y,n,n,n,n,n,n,n
Papillon,52.3517,4.89459,https://www.coffeeshopmenus.org/cs-papillon-ams.html,papillon.png,n,,y,n,n,n,n,n,n,n
Paradox,52.37459,4.88126,https://www.coffeeshopmenus.org/cs-paradox.html,paradox.png,n,,y,n,n,n,n,n,n,n
Prix D' Ami,52.37687,4.89725,https://www.coffeeshopmenus.org/cs-prix-d-ami.html,prix_dami.png,n,,y,n,n,n,n,n,n,n
Reefer,52.36971,4.90093,https://www.coffeeshopmenus.org/cs-reefer.html,reefer.png,n,,y,n,n,n,n,n,n,n
Relax,52.38216,4.88714,https://www.coffeeshopmenus.org/cs-relax-ams.html,relax.png,n,,y,n,n,n,n,n,n,n
Republiek,52.38218,4.87866,https://www.coffeeshopmenus.org/cs-republiek.html,republiek.png,n,,y,n,n,n,n,n,n,n
